Country Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Uzbekistan,29724065.0,30222994.0,30749346.0,31284568.0,31819178.0,32373490.0,32964701.0,33586372.0,34243696.0,34938955.0,35652307.0
St. Vincent and the Grenadines,108135.0,107535.0,106960.0,106349.0,105663.0,104926.0,104167.0,103526.0,102841.0,102046.0,101323.0
"Venezuela, RB",29912198.0,30254079.0,30573972.0,30765720.0,30565323.0,29807592.0,28938098.0,28444077.0,28237826.0,28213017.0,28300854.0
Vietnam,90573104.0,91679578.0,92823254.0,94000117.0,95176977.0,96237319.0,97173776.0,98079191.0,98935098.0,99680655.0,100352192.0
Vanuatu,254482.0,260240.0,266101.0,272087.0,278507.0,285259.0,291985.0,298858.0,305868.0,313046.0,320409.0
Samoa,198268.0,200037.0,201782.0,203499.0,205415.0,207582.0,209780.0,211944.0,213779.0,215261.0,216663.0
"Yemen, Rep.",29312952.0,30226309.0,31159379.0,32109010.0,33090921.0,34085182.0,35111408.0,36134863.0,37140230.0,38222876.0,39390799.0
South Africa,54678791.0,55594838.0,56723537.0,57259551.0,57635162.0,58613001.0,59587885.0,60562381.0,61502603.0,62378410.0,63212384.0
Zambia,15398997.0,15895315.0,16399089.0,16914423.0,17441320.0,17973569.0,18513839.0,19059395.0,19603607.0,20152938.0,20723965.0
Zimbabwe,14013808.0,14207359.0,14399013.0,14600294.0,14812482.0,15034452.0,15271368.0,15526888.0,15797210.0,16069056.0,16340822.0
